Service,Resource Count,Total Attributes,Resource Name,Attribute Count
API_Gateway,6,47,api_gateway_api,5
,,,api_gateway_api_config,19
,,,api_gateway_api_config_iam,6
,,,api_gateway_api_iam,5
,,,api_gateway_gateway,6
,,,api_gateway_gateway_iam,6

API_Hub,5,88,apihub_api_hub_instance,9
,,,apihub_curation,8
,,,apihub_host_project_registration,4
,,,apihub_plugin,30
,,,apihub_plugin_instance,37

Access_Approval,3,16,folder_access_approval_settings,5
,,,organization_access_approval_settings,5
,,,project_access_approval_settings,6

Access_Context_Manager_(VPC_Service_Controls),18,319,access_context_manager_access_level,30
,,,access_context_manager_access_level_condition,17
,,,access_context_manager_access_levels,31
,,,access_context_manager_access_policy,3
,,,access_context_manager_access_policy_iam,4
,,,access_context_manager_authorized_orgs_desc,6
,,,access_context_manager_egress_policy,2
,,,access_context_manager_gcp_user_access_binding,18
,,,access_context_manager_ingress_policy,2
,,,access_context_manager_service_perimeter,46
,,,access_context_manager_service_perimeter.template,46
,,,access_context_manager_service_perimeter_dry_run_egress_policy,16
,,,access_context_manager_service_perimeter_dry_run_ingress_policy,14
,,,access_context_manager_service_perimeter_dry_run_resource,2
,,,access_context_manager_service_perimeter_egress_policy,16
,,,access_context_manager_service_perimeter_ingress_policy,14
,,,access_context_manager_service_perimeter_resource,2
,,,access_context_manager_service_perimeters,50

AlloyDB,4,109,alloydb_backup,10
,,,alloydb_cluster,49
,,,alloydb_instance,45
,,,alloydb_user,5

Anthos_On-Prem,6,315,gkeonprem_bare_metal_admin_cluster,46
,,,gkeonprem_bare_metal_cluster,77
,,,gkeonprem_bare_metal_node_pool,15
,,,gkeonprem_vmware_admin_cluster,76
,,,gkeonprem_vmware_cluster,75
,,,gkeonprem_vmware_node_pool,26

Apigee,4,26,apigee_addons_config,6
,,,apigee_api,3
,,,apigee_api_product,11
,,,apigee_dns_zone,6

Apikeys,1,8,apikeys_key,8

App_Engine,8,196,app_engine_application,11
,,,app_engine_application_url_dispatch_rules,4
,,,app_engine_domain_mapping,6
,,,app_engine_firewall_rule,5
,,,app_engine_flexible_app_version,109
